run,ber,timelimit,repetition,Module,throughput:last
Thousand_Runs-1670-20200611-02:25:13-46018,1e-7,100,670,Exercise6.client.pppg$o[0].channel,732105.64461538
Thousand_Runs-2077-20200611-02:28:18-46122,1e-7,1000,77,Exercise6.client.pppg$o[0].channel,809466.23152602
Thousand_Runs-1298-20200611-02:23:59-45925,1e-7,100,298,Exercise6.client.pppg$o[0].channel,761148.7629251
Thousand_Runs-1537-20200611-02:24:46-45985,1e-7,100,537,Exercise6.client.pppg$o[0].channel,676471.47537453
Thousand_Runs-1715-20200611-02:25:23-46029,1e-7,100,715,Exercise6.client.pppg$o[0].channel,680641.49124823
Thousand_Runs-1634-20200611-02:25:06-46009,1e-7,100,634,Exercise6.client.pppg$o[0].channel,758806.25992168
Thousand_Runs-960-20200611-02:22:55-45653,1e-7,10,960,Exercise6.client.pppg$o[0].channel,169858.51774077
Thousand_Runs-1492-20200611-02:24:36-45974,1e-7,100,492,Exercise6.client.pppg$o[0].channel,685904.95751833
Thousand_Runs-703-20200611-02:22:42-45576,1e-7,10,703,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-746-20200611-02:22:44-45589,1e-7,10,746,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-1956-20200611-02:26:14-46090,1e-7,100,956,Exercise6.client.pppg$o[0].channel,720577.71171167
Thousand_Runs-1735-20200611-02:25:27-46034,1e-7,100,735,Exercise6.client.pppg$o[0].channel,672264.06654419
Thousand_Runs-1913-20200611-02:26:04-46079,1e-7,100,913,Exercise6.client.pppg$o[0].channel,786408.75192235
Thousand_Runs-525-20200611-02:22:33-45518,1e-7,10,525,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-271-20200611-02:22:19-45391,1e-7,10,271,Exercise6.client.pppg$o[0].channel,169858.51774077
Thousand_Runs-509-20200611-02:22:32-45504,1e-7,10,509,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-1778-20200611-02:25:36-46045,1e-7,100,778,Exercise6.client.pppg$o[0].channel,664011.28033658
Thousand_Runs-1859-20200611-02:25:54-46065,1e-7,100,859,Exercise6.client.pppg$o[0].channel,676433.61610678
Thousand_Runs-1050-20200611-02:23:09-45676,1e-7,100,50,Exercise6.client.pppg$o[0].channel,774218.61892625
Thousand_Runs-487-20200611-02:22:31-45484,1e-7,10,487,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-924-20200611-02:22:53-45642,1e-7,10,924,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-1891-20200611-02:26:01-46073,1e-7,100,891,Exercise6.client.pppg$o[0].channel,622079.20655715
Thousand_Runs-530-20200611-02:22:33-45523,1e-7,10,530,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-352-20200611-02:22:24-45413,1e-7,10,352,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-1476-20200611-02:24:33-45970,1e-7,100,476,Exercise6.client.pppg$o[0].channel,696122.16982853
Thousand_Runs-444-20200611-02:22:29-45449,1e-7,10,444,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-1972-20200611-02:26:17-46094,1e-7,100,972,Exercise6.client.pppg$o[0].channel,691996.9013776
Thousand_Runs-665-20200611-02:22:40-45566,1e-7,10,665,Exercise6.client.pppg$o[0].channel,398570.33137591
Thousand_Runs-1379-20200611-02:24:16-45945,1e-7,100,379,Exercise6.client.pppg$o[0].channel,728497.71103253
Thousand_Runs-1557-20200611-02:24:50-45990,1e-7,100,557,Exercise6.client.pppg$o[0].channel,724525.28570306
Thousand_Runs-568-20200611-02:22:35-45540,1e-7,10,568,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-622-20200611-02:22:38-45555,1e-7,10,622,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-1886-20200611-02:25:59-46072,1e-7,100,886,Exercise6.client.pppg$o[0].channel,646169.78416299
Thousand_Runs-2626-20200611-02:43:49-46270,1e-7,1000,626,Exercise6.client.pppg$o[0].channel,785250.03545617
Thousand_Runs-47-20200611-02:22:09-45334,1e-7,10,47,Exercise6.client.pppg$o[0].channel,174869.71145733
Thousand_Runs-1305-20200611-02:24:00-45927,1e-7,100,305,Exercise6.client.pppg$o[0].channel,665735.14603424
Thousand_Runs-158-20200611-02:22:14-45362,1e-7,10,158,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-2475-20200611-02:39:34-46230,1e-7,1000,475,Exercise6.client.pppg$o[0].channel,796386.80609043
Thousand_Runs-266-20200611-02:22:19-45392,1e-7,10,266,Exercise6.client.pppg$o[0].channel,176122.50988647
Thousand_Runs-115-20200611-02:22:12-45351,1e-7,10,115,Exercise6.client.pppg$o[0].channel,169858.51774077
Thousand_Runs-194-20200611-02:22:16-45371,1e-7,10,194,Exercise6.client.pppg$o[0].channel,176122.50988647
