run,ber,timelimit,repetition,Module,throughput:last
Hundred_Runs-32-20200611-02:16:06-44315,1e-7,10,32,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-75-20200611-02:16:08-44324,1e-7,10,75,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-164-20200611-02:16:22-44349,1e-7,100,64,Exercise6.client.pppg$o[0].channel,635694.20288661
Hundred_Runs-58-20200611-02:16:07-44320,1e-7,10,58,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-102-20200611-02:16:11-44332,1e-7,100,2,Exercise6.client.pppg$o[0].channel,756758.56079031
Hundred_Runs-263-20200611-02:18:19-44669,1e-7,1000,63,Exercise6.client.pppg$o[0].channel,767659.71796573
Hundred_Runs-289-20200611-02:19:04-44955,1e-7,1000,89,Exercise6.client.pppg$o[0].channel,771318.46430098
Hundred_Runs-246-20200611-02:17:42-44563,1e-7,1000,46,Exercise6.client.pppg$o[0].channel,796748.14972989
Hundred_Runs-147-20200611-02:16:18-44342,1e-7,100,47,Exercise6.client.pppg$o[0].channel,746658.12761062
Hundred_Runs-220-20200611-02:16:56-44551,1e-7,1000,20,Exercise6.client.pppg$o[0].channel,820503.30204853
Hundred_Runs-81-20200611-02:16:09-44327,1e-7,10,81,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-229-20200611-02:17:06-44555,1e-7,1000,29,Exercise6.client.pppg$o[0].channel,783536.80124508
Hundred_Runs-77-20200611-02:16:08-44325,1e-7,10,77,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-137-20200611-02:16:16-44339,1e-7,100,37,Exercise6.client.pppg$o[0].channel,704599.26865184
Hundred_Runs-34-20200611-02:16:06-44315,1e-7,10,34,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-145-20200611-02:16:17-44342,1e-7,100,45,Exercise6.client.pppg$o[0].channel,634271.82020786
Hundred_Runs-26-20200611-02:16:06-44312,1e-7,10,26,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-50-20200611-02:16:07-44318,1e-7,10,50,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-188-20200611-02:16:26-44448,1e-7,100,88,Exercise6.client.pppg$o[0].channel,665871.00085324
Hundred_Runs-153-20200611-02:16:20-44344,1e-7,100,53,Exercise6.client.pppg$o[0].channel,678228.77780026
Hundred_Runs-196-20200611-02:16:29-44452,1e-7,100,96,Exercise6.client.pppg$o[0].channel,701197.9395993
Hundred_Runs-93-20200611-02:16:09-44329,1e-7,10,93,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-110-20200611-02:16:11-44333,1e-7,100,10,Exercise6.client.pppg$o[0].channel,727602.88975248
Hundred_Runs-69-20200611-02:16:08-44323,1e-7,10,69,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-295-20200611-02:19:18-44956,1e-7,1000,95,Exercise6.client.pppg$o[0].channel,784153.92128484
Hundred_Runs-129-20200611-02:16:14-44338,1e-7,100,29,Exercise6.client.pppg$o[0].channel,690846.73673418
Hundred_Runs-252-20200611-02:17:54-44664,1e-7,1000,52,Exercise6.client.pppg$o[0].channel,745984.34924794
Hundred_Runs-244-20200611-02:17:27-44563,1e-7,1000,44,Exercise6.client.pppg$o[0].channel,786713.73977975
Hundred_Runs-287-20200611-02:19:16-44954,1e-7,1000,87,Exercise6.client.pppg$o[0].channel,765806.40878445
Hundred_Runs-236-20200611-02:17:24-44561,1e-7,1000,36,Exercise6.client.pppg$o[0].channel,804012.72851872
Hundred_Runs-279-20200611-02:18:50-44950,1e-7,1000,79,Exercise6.client.pppg$o[0].channel,743561.44893248
Hundred_Runs-108-20200611-02:16:10-44333,1e-7,100,8,Exercise6.client.pppg$o[0].channel,704276.69008922
Hundred_Runs-18-20200611-02:16:06-44313,1e-7,10,18,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-173-20200611-02:16:23-44348,1e-7,100,73,Exercise6.client.pppg$o[0].channel,660385.55371685
Hundred_Runs-224-20200611-02:16:57-44552,1e-7,1000,24,Exercise6.client.pppg$o[0].channel,783095.33742964
Hundred_Runs-291-20200611-02:19:18-44955,1e-7,1000,91,Exercise6.client.pppg$o[0].channel,766667.07706822
Hundred_Runs-49-20200611-02:16:07-44318,1e-7,10,49,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-97-20200611-02:16:10-44330,1e-7,10,97,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-157-20200611-02:16:20-44345,1e-7,100,57,Exercise6.client.pppg$o[0].channel,672093.38735067
Hundred_Runs-200-20200611-02:16:29-44451,1e-7,1000,0,Exercise6.client.pppg$o[0].channel,775652.75669521
Hundred_Runs-114-20200611-02:16:12-44334,1e-7,100,14,Exercise6.client.pppg$o[0].channel,684444.09492989
Hundred_Runs-267-20200611-02:18:46-44856,1e-7,1000,67,Exercise6.client.pppg$o[0].channel,777442.27595739
Hundred_Runs-54-20200611-02:16:07-44319,1e-7,10,54,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-125-20200611-02:16:13-44337,1e-7,100,25,Exercise6.client.pppg$o[0].channel,671548.72746291
Hundred_Runs-161-20200611-02:16:20-44346,1e-7,100,61,Exercise6.client.pppg$o[0].channel,613149.24090959
Hundred_Runs-38-20200611-02:16:06-44317,1e-7,10,38,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-11-20200611-02:16:05-44307,1e-7,10,11,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-260-20200611-02:17:58-44669,1e-7,1000,60,Exercise6.client.pppg$o[0].channel,758631.29952069
Hundred_Runs-207-20200611-02:16:48-44453,1e-7,1000,7,Exercise6.client.pppg$o[0].channel,784740.37736717
Hundred_Runs-130-20200611-02:16:15-44338,1e-7,100,30,Exercise6.client.pppg$o[0].channel,676222.62475745
Hundred_Runs-85-20200611-02:16:09-44328,1e-7,10,85,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-42-20200611-02:16:06-44314,1e-7,10,42,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-221-20200611-02:17:03-44551,1e-7,1000,21,Exercise6.client.pppg$o[0].channel,759139.48901463
Hundred_Runs-299-20200611-02:19:35-45065,1e-7,1000,99,Exercise6.client.pppg$o[0].channel,764386.22074568
Hundred_Runs-239-20200611-02:17:47-44561,1e-7,1000,39,Exercise6.client.pppg$o[0].channel,801125.10867792
Hundred_Runs-264-20200611-02:18:23-44856,1e-7,1000,64,Exercise6.client.pppg$o[0].channel,811044.54618224
Hundred_Runs-7-20200611-02:16:05-44308,1e-7,10,7,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-272-20200611-02:18:25-44860,1e-7,1000,72,Exercise6.client.pppg$o[0].channel,776627.74213588
Hundred_Runs-247-20200611-02:17:50-44563,1e-7,1000,47,Exercise6.client.pppg$o[0].channel,773768.04328322
Hundred_Runs-213-20200611-02:16:39-44455,1e-7,1000,13,Exercise6.client.pppg$o[0].channel,796391.45853603
Hundred_Runs-256-20200611-02:17:55-44666,1e-7,1000,56,Exercise6.client.pppg$o[0].channel,778126.32835814
Hundred_Runs-65-20200611-02:16:08-44322,1e-7,10,65,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-22-20200611-02:16:06-44311,1e-7,10,22,Exercise6.client.pppg$o[0].channel,345403.50865869
Hundred_Runs-150-20200611-02:16:20-44343,1e-7,100,50,Exercise6.client.pppg$o[0].channel,665969.23985923
Hundred_Runs-133-20200611-02:16:16-44340,1e-7,100,33,Exercise6.client.pppg$o[0].channel,578956.05094099
Hundred_Runs-176-20200611-02:16:23-44350,1e-7,100,76,Exercise6.client.pppg$o[0].channel,735621.29830974
Hundred_Runs-141-20200611-02:16:17-44341,1e-7,100,41,Exercise6.client.pppg$o[0].channel,623306.04923982
Hundred_Runs-14-20200611-02:16:05-44306,1e-7,10,14,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-74-20200611-02:16:08-44324,1e-7,10,74,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-184-20200611-02:16:26-44447,1e-7,100,84,Exercise6.client.pppg$o[0].channel,757465.28861217
Hundred_Runs-57-20200611-02:16:07-44320,1e-7,10,57,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-31-20200611-02:16:06-44310,1e-7,10,31,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-193-20200611-02:16:27-44449,1e-7,100,93,Exercise6.client.pppg$o[0].channel,666805.26767089
Hundred_Runs-240-20200611-02:17:25-44562,1e-7,1000,40,Exercise6.client.pppg$o[0].channel,750654.42333059
Hundred_Runs-118-20200611-02:16:14-44335,1e-7,100,18,Exercise6.client.pppg$o[0].channel,691886.34237594
Hundred_Runs-101-20200611-02:16:10-44332,1e-7,100,1,Exercise6.client.pppg$o[0].channel,623075.39002642
Hundred_Runs-283-20200611-02:19:14-44952,1e-7,1000,83,Exercise6.client.pppg$o[0].channel,790637.09618346
Hundred_Runs-148-20200611-02:16:19-44343,1e-7,100,48,Exercise6.client.pppg$o[0].channel,715105.26166476
Hundred_Runs-232-20200611-02:17:23-44560,1e-7,1000,32,Exercise6.client.pppg$o[0].channel,764959.28434422
Hundred_Runs-275-20200611-02:18:48-44860,1e-7,1000,75,Exercise6.client.pppg$o[0].channel,804260.45636981
Hundred_Runs-228-20200611-02:17:00-44555,1e-7,1000,28,Exercise6.client.pppg$o[0].channel,760739.38508305
Hundred_Runs-82-20200611-02:16:09-44327,1e-7,10,82,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-89-20200611-02:16:09-44326,1e-7,10,89,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-3-20200611-02:16:05-44309,1e-7,10,3,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-29-20200611-02:16:06-44310,1e-7,10,29,Exercise6.client.pppg$o[0].channel,379367.9692304
Hundred_Runs-165-20200611-02:16:23-44349,1e-7,100,65,Exercise6.client.pppg$o[0].channel,721407.1464893
Hundred_Runs-122-20200611-02:16:14-44336,1e-7,100,22,Exercise6.client.pppg$o[0].channel,729917.30075555
Hundred_Runs-203-20200611-02:16:49-44451,1e-7,1000,3,Exercise6.client.pppg$o[0].channel,776957.23355999
Hundred_Runs-46-20200611-02:16:06-44316,1e-7,10,46,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-162-20200611-02:16:21-44346,1e-7,100,62,Exercise6.client.pppg$o[0].channel,606282.77454283
Hundred_Runs-2-20200611-02:16:05-44309,1e-7,10,2,Exercise6.client.pppg$o[0].channel,226549.20436232
Hundred_Runs-251-20200611-02:18:14-44662,1e-7,1000,51,Exercise6.client.pppg$o[0].channel,810173.14397563
Hundred_Runs-286-20200611-02:19:09-44954,1e-7,1000,86,Exercise6.client.pppg$o[0].channel,768321.38749845
Hundred_Runs-51-20200611-02:16:07-44318,1e-7,10,51,Exercise6.client.pppg$o[0].channel,176122.50988647
Hundred_Runs-217-20200611-02:17:02-44550,1e-7,1000,17,Exercise6.client.pppg$o[0].channel,804942.29313693
