Q1,0.071123577,,,Condition,Group,Color
Q3,0.130871762,,,Y <= 0.15,A,Blue
IQR,0.059748184,,,Y > 0.15,B,Red
Lower Bound,-0.018498699,,,,,
Upper Bound,0.220494038,,,,,
,,,,,,
Time,E2E Delay,OUTLIER?,,Group,A,B
17.62233463,0.06,No,No,A,0.062334627,#N/A
17.66233463,0.06,No,No,A,0.062334627,#N/A
17.7027556,0.06,No,No,A,0.062755597,#N/A
17.74233463,0.06,No,No,A,0.062334627,#N/A
17.78233463,0.06,No,No,A,0.062334627,#N/A
17.82233909,0.06,No,No,A,0.062339092,#N/A
17.86233463,0.06,No,No,A,0.062334627,#N/A
17.90233463,0.06,No,No,A,0.062334627,#N/A
17.94233463,0.06,No,No,A,0.062334627,#N/A
17.98233463,0.06,No,No,A,0.062334627,#N/A
18.02233463,0.06,No,No,A,0.062334627,#N/A
18.06233463,0.06,No,No,A,0.062334627,#N/A
18.10309948,0.06,No,No,A,0.063099476,#N/A
18.14233463,0.06,No,No,A,0.062334627,#N/A
18.18233463,0.06,No,No,A,0.062334627,#N/A
18.22233463,0.06,No,No,A,0.062334627,#N/A
18.26233463,0.06,No,No,A,0.062334627,#N/A
18.30233463,0.06,No,No,A,0.062334627,#N/A
18.3445958,0.06,No,No,A,0.064595804,#N/A
18.38233463,0.06,No,No,A,0.062334627,#N/A
18.4239913,0.06,No,No,A,0.063991296,#N/A
18.46334632,0.06,No,No,A,0.06334632,#N/A
18.5041204,0.06,No,No,A,0.064120404,#N/A
18.5425157,0.06,No,No,A,0.062515703,#N/A
18.58286237,0.06,No,No,A,0.062862371,#N/A
18.6242104,0.06,No,No,A,0.064210397,#N/A
18.6644457,0.06,No,No,A,0.064445701,#N/A
18.70377978,0.06,No,No,A,0.063779785,#N/A
18.74252699,0.06,No,No,A,0.062526995,#N/A
18.78233754,0.06,No,No,A,0.062337541,#N/A
18.82353745,0.06,No,No,A,0.063537454,#N/A
18.86436748,0.06,No,No,A,0.064367479,#N/A
18.90280977,0.06,No,No,A,0.062809772,#N/A
18.94294985,0.06,No,No,A,0.062949851,#N/A
18.98233463,0.06,No,No,A,0.062334627,#N/A
19.02233463,0.06,No,No,A,0.062334627,#N/A
19.06263747,0.06,No,No,A,0.062637465,#N/A
19.10419244,0.06,No,No,A,0.064192443,#N/A
19.14233463,0.06,No,No,A,0.062334627,#N/A
19.18233463,0.06,No,No,A,0.062334627,#N/A
19.2228394,0.06,No,No,A,0.062839405,#N/A
19.26233463,0.06,No,No,A,0.062334627,#N/A
19.30233463,0.06,No,No,A,0.062334627,#N/A
19.34265895,0.06,No,No,A,0.06265895,#N/A
19.38233463,0.06,No,No,A,0.062334627,#N/A
19.42233463,0.06,No,No,A,0.062334627,#N/A
19.4627612,0.06,No,No,A,0.062761202,#N/A
19.50233463,0.06,No,No,A,0.062334627,#N/A
19.54233463,0.06,No,No,A,0.062334627,#N/A
19.58298494,0.06,No,No,A,0.062984942,#N/A
